id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
36282639,唐探1900,,https://dou.img.lithub.cc/movie/36282639.jpg,2025-01-29(中国大陆),https://movie.douban.com/subject/36282639/,6.5,"喜剧,动作,悬疑",3,导演想塞下过多的宏大叙事，结果就是别扭，开膛手、义和团、印第安、爱尔兰，结合成抗美又抗清的革命。不仅是缺乏打动人心的场面，还根本没写好核心探案剧情。,,2025-02-16 20:12:33,2025 / 中国大陆 中国香港 / 喜剧 动作 悬疑 / 陈思诚 戴墨 / 王宝强 刘昊然
34780991,哪吒之魔童闹海,,https://dou.img.lithub.cc/movie/34780991.jpg,2025-01-29(中国大陆),https://movie.douban.com/subject/34780991/,8.5,"剧情,喜剧,动画",5,故事线完整，反转精彩。动画效果出色，立意深刻，实至名归。,,2025-02-16 20:05:54,2025 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫
1292217,穆赫兰道,,https://dou.img.lithub.cc/movie/1292217.jpg,2001-05-16(戛纳电影节),https://movie.douban.com/subject/1292217/,8.4,"剧情,悬疑,惊悚",4,最恐怖的事情是 当我下载好10G资源打算在飞机上看时，发现曾经看过了,,2025-01-22 22:15:10,2001 / 法国 美国 / 剧情 悬疑 惊悚 / 大卫·林奇 / 娜奥米·沃茨 劳拉·哈灵
1867408,伤城,,https://dou.img.lithub.cc/movie/1867408.jpg,2006-12-21(中国香港),https://movie.douban.com/subject/1867408/,6.8,"剧情,惊悚,犯罪",4,人陷入自证的陷阱，拼尽全力收获伤痛满身。复仇的剧情老套无聊，梁朝伟的爱情线几乎没有。,,2024-12-19 20:04:47,2006 / 中国大陆 中国香港 / 剧情 惊悚 犯罪 / 刘伟强 麦兆辉 / 梁朝伟 金城武
1395080,借着雨点说爱你,,https://dou.img.lithub.cc/movie/1395080.jpg,2004-10-30(日本),https://movie.douban.com/subject/1395080/,8.5,"剧情,爱情,奇幻",5,看哭了，后面有点催泪了。果然，长久的告别让人更加珍惜现在,,2024-12-12 18:12:20,2004 / 日本 / 剧情 爱情 奇幻 / 土井裕泰 / 竹内结子 中村狮童
25790761,东方快车谋杀案,,https://dou.img.lithub.cc/movie/25790761.jpg,2017-11-10(中国大陆),https://movie.douban.com/subject/25790761/,6.8,"剧情,悬疑,犯罪",5,作为没有看过原著的人，我不在乎奇怪的改编，我认为这是一个完整的故事，演技都很好，除了开头有点突兀，伊斯坦布尔到伦敦这么近的吗？,,2024-12-06 21:54:54,2017 / 马耳他 美国 / 剧情 悬疑 犯罪 / 肯尼思·布拉纳 / 肯尼思·布拉纳 汤姆·巴特曼
30176393,误杀,,https://dou.img.lithub.cc/movie/30176393.jpg,2019-12-13(中国大陆),https://movie.douban.com/subject/30176393/,7.5,"剧情,悬疑,犯罪",4,确实不错，虽然看过印度的《瞒天误杀记》，也知道全片都是在表演。但也有新东西。大家的研究都不错，留下的很多伏笔都挺有意思的，选举反转那段地方很爽。属于是知道我们喜欢看什么的商业片。,,2024-11-29 15:43:45,2019 / 中国大陆 / 剧情 悬疑 犯罪 / 柯汶利 / 肖央 谭卓
35042913,西部世界 第四季,,https://dou.img.lithub.cc/movie/35042913.jpg,2022-06-26(美国),https://movie.douban.com/subject/35042913/,7.7,"剧情,科幻,悬疑",4,第四季就是剧本，Deloris为城市里的所有人写剧本，编剧才是控制世界的终极力量。平平无奇也不怎么跌宕起伏，所有人都死不了，经过简单修补就能复活。更多的桥段是把西部世界里的场景搬到现代，属于是编剧黔驴技穷了，有这么大的剧场却没有写新故事的能力，合着Bernard看了23年的vr就推理了几遍现实，还都推理错了，显得很莫宁奇妙。,,2024-11-29 15:39:36,2022 / 美国 / 剧情 科幻 悬疑 / 克雷格·麦克尼尔 理查德·J·刘易斯 保罗·卡梅隆 哈内尔·M·卡尔佩珀 蜜拉·梅农 安德鲁·塞克利尔 / 埃文·蕾切尔·伍德 坦迪·牛顿
26603847,毛骗 终结篇,,https://dou.img.lithub.cc/movie/26603847.jpg,2015-09-10(中国大陆),https://movie.douban.com/subject/26603847/,9.7,"悬疑,犯罪",5,封神,,2024-09-04 09:46:13,2015 / 中国大陆 / 悬疑 犯罪 / 李洪绸 邢冬冬 汪小壹 / 杨羽 邵庄
1851857,蝙蝠侠：黑暗骑士,,https://dou.img.lithub.cc/movie/1851857.jpg,2008-07-14(纽约首映),https://movie.douban.com/subject/1851857/,9.2,"剧情,动作,科幻",3,我觉得第二部没有1，3好看诶,,2024-09-02 19:59:13,2008 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 希斯·莱杰
